Fold,N_Train,N_Test,Male_Mean,Female_Mean,Difference,Pct_Difference,P_value,Cohens_d,Significant
1,2271,253,0.103725021720243,0.127504051940471,0.0237790302202278,22.9250665132298,0.0728148562047399,0.226534322649219,No
2,2271,253,0.13318501923793,0.149284250108601,0.0160992308706714,12.087869163356,0.211581248822287,0.157483469649578,No
3,2271,253,0.118932841007819,0.14125935352217,0.0223265125143508,18.7723696206694,0.0722037590751598,0.226828684377162,No
4,2271,253,0.0924542509618963,0.126393713589503,0.0339394626276065,36.7094668709112,0.00382755351809756,0.366845120190954,Yes
5,2271,253,0.0895819908154398,0.113293025232329,0.023711034416889,26.4685281059888,0.0585037666496055,0.238970579553124,No
6,2272,252,0.103932048433636,0.115772808096129,0.0118407596624925,11.3927896553037,0.382281757965416,0.110242531375626,No
7,2272,252,0.16791933132527,0.154903419998589,-0.0130159113266803,-7.75128820723309,0.408036668152694,-0.104453547874353,No
8,2272,252,0.127198240999684,0.134812509833205,0.00761426883352159,5.98614318380434,0.579945082193675,0.0697960478104128,No
9,2272,252,0.144330713370267,0.160040537268915,0.0157098238986479,10.8846021278547,0.232025848424483,0.150826976906007,No
10,2273,251,0.100777719176347,0.126313951744825,0.0255362325684787,25.339165022969,0.0555844327515261,0.242853196196984,No
